         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      548    0.013    0.000    0.077    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4797    0.013    0.000    0.018    0.000 util.py:93(unzip2)
        3    0.013    0.004    0.016    0.005 _stablehlo_ops_gen.py:1887(__init__)
        3    0.013    0.004    0.013    0.004 _stablehlo_ops_gen.py:3731(__init__)
   6430/0    0.013    0.000    0.000          core.py:435(bind)
     8685    0.013    0.000    0.015    0.000 source_info_util.py:156(replace)
     6052    0.012    0.000    0.072    0.000 config.py:298(__call__)
        1    0.012    0.012    0.012    0.012 _ufunclike_impl.py:1(<module>)
     9075    0.012    0.000    0.184    0.000 contextlib.py:515(enter_context)
2066/2049    0.012    0.000    0.234    0.000 linear_util.py:338(memoized_fun)
     1008    0.012    0.000    0.262    0.000 partial_eval.py:699(_trace_to_subjaxpr_nounits)
    53353    0.012    0.000    0.012    0.000 {built-in method builtins.id}
   169/69    0.012    0.000    0.019    0.000 _parser.py:511(_parse)
    21968    0.012    0.000    0.021    0.000 core.py:1381(<genexpr>)
    499/0    0.012    0.000    0.000          ensemble_of_forecasters.py:33(forecast_1step_with_loss)
     4010    0.011    0.000    0.074    0.000 ad.py:193(read_cotangent)
    58682    0.011    0.000    0.011    0.000 {built-in method _operator.index}
    12501    0.011    0.000    0.017    0.000 core.py:229(effects)
     8114    0.011    0.000    0.034    0.000 core.py:2754(subst_axis_names_jaxpr)
      913    0.011    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
       42    0.011    0.000    0.011    0.000 cache_key.py:148(_serialize_ir)
      438    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
     3508    0.011    0.000    0.014    0.000 partial_eval.py:146(__init__)
    15661    0.011    0.000    0.011    0.000 core.py:528(__init__)
     2151    0.011    0.000    0.025    0.000 pjit.py:243(_get_fastpath_data)
     2504    0.011    0.000    0.017    0.000 util.py:150(merge_lists)
     7251    0.011    0.000    0.013    0.000 linear_util.py:168(wrap)
     4709    0.011    0.000    0.138    0.000 api_util.py:602(shaped_abstractify)
    17538    0.010    0.000    0.024    0.000 partial_eval.py:603(aval)
     5612    0.010    0.000    0.011    0.000 {method 'update' of 'dict' objects}
      438    0.010    0.000    0.010    0.000 {method 'read' of '_io.BufferedReader' objects}
     4506    0.010    0.000    0.013    0.000 ad.py:196(read_primal)
